Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~US29080671(A).PrjPCB|ReportField=ProjectFullPath~E:\working\ART-TS9080671\US29080671_0927\Document\US29080671(A).PrjPCB|ReportField=Title~Bill of Materials For PCB Document [US29080671(A).PcbDoc]|ReportField=TotalQuantity~1097|ReportField=ReportTime~13:48:51|ReportField=ReportDate~2017-9-28|ReportField=ReportDateTime~2017-9-28 13:48:51|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=DataSourceFileName~US29080671(A).PcbDoc|ReportField=DataSourceFullPath~E:\working\ART-TS9080671\US29080671_0927\Document\US29080671(A).PcbDoc
MAX3491ESD||D24|SO-14|MAX1482|1
SN74AUC1G08DBV||D26|SOT-23-5|SN74AUC1G08DBV|1
24M|XTAL 25MHZ -- -- SMT|G1|OSC3225-4P|XTAL_13Y|1
USB_V||J1|USB_TYPEA||1
47589-0001|MOLEX MICRO USB AB 5|J4|con5_microusb|USB_MINI_AB_RECEPTACLE|1
FC-202GYDNL|CON 10 RJ-45 SHLD TH G/Y LEDS 50MIL SP 662H AU 125L|J5|RJ45-1840710|V890-1AX1-A1_2|1
HDR 1X2 TH|HDR 1X2 TH 100MIL SP 339H AU 98L|J7|HDR102|CONN_HDR_2X1|1
DPH2.54RFS-14P|2.54间距14芯双排插针|JTAG1|IDC2.54-14||1
MPZ2012S101A|MPZ2012S101A|L1, L2, L3, L4, L11, L12, L13, L14, L15, L16, L17, L18, L20, L21, L22, L23, L24, L25, L26, L27, L28, L29, L30, L31, L32|R0805|FB0805-330R@100MHz, ProE2A0.TMP_UnNamed_1|25
4.7uH/5A||L5|LSMD12-13X13|LS-6.8uH/5A|1
LS-4.7uH/3A|7.3*6.6*3mm,4.7uH/5.5A,40mR,20%,TMP|L6, L7|FMJ-0630T|LS-4.7uH/5.5A|2
2.2uH/5A||L8|LSMD12-13X13|LS-6.8uH/5A|1
BLM18AG121SN1|BLM18AG121SN1|L9, L10|R0603|FB0805-330R@100MHz|2
VLS3012T-4R7M1R0|IND PWR 4.7UH@1MHZ 1A 20% SMD|L19|GTSD32P|INDUCTOR_0|1
LED0603-GREEN|表贴发光二极管, 0603封装, 体积1.6x0.8mm, 绿色, 高度0.8mm|LED2, LED3, LED4, V6, V7, V8, V9, V10, V11, V12, V13, V14, V15, V16, V17|LED-R0603|LED, LED-R_3|15
R0402-1K/NC||R1, R3, R10, R14, R22, R23|R0402|R0402-10K|6
R0603-2.15K/1%||R2|R0603|R0603-0R|1
R0402-20K/NC||R4, R5, R6, R7, R130, R131|R0402|R0402-10K|6
R0402-1K||R8, R11, R12, R15, R16, R17, R18, R19, R21, R25, R88, R134, R206, R324, R325, R326, R327, R329, R330, R331, R332, R333, R334, R335, R336|R0402|R0402-10K|25
R0402-10K/NC||R9, R13, R20, R24, R178, R193, R194, R207, R212, R260|R0402|R0402-10K|10
R0402-10K||R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69, R70, R71, R72, R73, R74, R75, R76, R77, R78, R79, R80, R81, R82, R83, R84, R85, R86, R87, R90, R96, R97, R99, R101, R108, R109, R110, R111, R112, R113, R114, R115, R116, R117, R118, R119, R129, R132, R133, R181, R183, R188, R189, R190, R191, R192, R195, R196, R197, R198, R199, R202, R203, R204, R205, R208, R209, R210, R211, R213, R214, R215, R217, R218, R219, R220, R221, R222, R223, R224, R225, R226, R227, R228, R229, R230, R231, R232, R233, R234, R235, R236, R237, R238, R239, R240, R242, R243, R244, R245, R246, R247, R248, R249, R250, R261, R274, R275, R276, R277, R278, R279, R280, R287, R288, R289, R290, R291, R305, R306, R307, R308, R309, R310, R311, R312, R313, R314, R315, R316, R318, R328, R350, R351, R358|R0402|R0402-10K|168
R0402-51K||R89, R135, R252|R0402|R0402-10K|3
R0402-49.9R/1%||R91, R319|R0402|R0402-49.9R/1%|2
R0805-267K/1%||R92, R320|R0805|R0805-267K/1%|2
R0402-68K||R93|R0402|R0402-10K|1
R0603-20K/1%||R94, R102, R104|R0603|R0603-0R|3
R0603-10K/1%||R95|R0603|R0603-0R|1
R0603-15K/1%||R98|R0603|R0603-0R|1
R0603-12K/1%||R100|R0603|R0603-0R|1
R0603-73.2K||R103|R0603|R0603-0R|1
R0603-100K||R105|R0603|R0603-0R|1
R0603-75K/1%||R106|R0603|R0603-0R|1
R0603-22K/1%||R107|R0603|R0603-0R|1
0805-512(5.1K)||R120, R121, R122, R123, R124, R125, R126, R127, R298, R299, R300, R301|0805|RES2|12
R0402-33R||R128, R216, R254, R255, R256, R257, R258, R259, R263, R265, R267, R269, R271, R296, R302, R303|R0402|R0402-10K|16
R0402-20K||R136, R137, R138, R139|R0402|R0402-10K|4
R0402-0R||R140, R176, R182, R251, R253, R297, R317, R322, R323, R337, R338, R339, R340, R341, R342, R343, R344|R0402|R0402-10K|17
R0402-10K/1%||R141, R142, R158, R171, R172|R0402|R0402-10K|5
R0402-40.2R/1%||R143, R144, R145, R146, R147, R148, R149, R150, R151, R152, R153, R154, R155, R156, R157, R159, R160, R161, R162, R163, R165, R167, R168, R169, R170|R0402|R0603-40.2R/1%|25
R0402-82.5R/1%||R164, R166, R175|R0402|R0402-10K|3
R0402-240R/1%||R173, R174|R0402|R0402-10K|2
R0402-270R||R177, R179, R185|R0402|R0402-10K|3
R0402-4.7K||R180|R0402|R0402-10K|1
R0402-22R||R184|R0402|R0402-10K|1
R0402-1.5K||R186|R0402|R0402-10K|1
R0402-2.37K/1%||R187|R0402|R0402-10K|1
R0603-100R/1%||R200|R0603|R0603-100R/1%|1
R0603-120R||R201|R0603|R0603-100R/1%|1
R0402-100R/1%||R241|R0402|R0402-10K|1
R0402-33R/NC||R262, R264, R266, R268, R270, R272, R273, R292, R293, R294, R295|R0402|R0402-10K|11
R0402-8.06K/1%||R281|R0402|R0402-10K|1
R0805-1M/1%||R282|R0805|R0805-1M/1%|1
R0402-820R||R283|R0402|R0402-10K|1
R0603-130K||R284|R0603|R0603-0R|1
R0603-62K||R285|R0603|R0603-0R|1
R0603-82R||R286|R0603|R0603-0R|1
0603-121(120Ω)||R304|R0603|RES2|1
R0402-27K||R321|R0402|R0402-10K|1
R0402-49.9R1%||R352, R353, R354, R355, R356, R357|R0402|R0402-10K|6
pcb-MARK|PCB标示 MARK点|T1, T2, T3, T4, T5, T6|pcb-MARK|pcb-MARK|6
chip-MARK|芯片标示 MARK点|T7, T8, T9, T10, T11, T12, T13, T14, T15, T16, T17, T18, T19, T20, T21, T22, T23, T24, T25, T26, T27, T28, T29, T30, T31, T32|chip-MARK|chip-MARK|26
SN74LVC16T245GQLR||U1, U3, U4|BGA-56||3
CP2103-GM||U7|QFN-28|CP2103|1
PGB1010603|Transient Voltage Suppressors|V1, V3, V4, V5|R0603|SMBJ12CA|4
LED-R0603|表贴发光二极管, 0603封装, 体积1.6x0.8mm, 红色, 高度0.8mm|V18, V19, V20, V21, V22, V23, V24, V25|LED-R0603|LED-R0603|8
Test Point|测试点|XJ1, XJ2, XJ3, XJ4, XJ5, XJ6, XJ7, XJ8, XJ9, XJ10, XJ11, XJ12|TP3|TP|12
TESTPOINT|测试点|XJ13, XJ14, XJ15, XJ16, XJ17, XJ18, XJ19, XJ20|TEST-pin|TESTPOINT|8
50PIN_MY_R_AB||XS1, XS3, XS5, XS7, XS9, XS11, XS13, XS15, XS17, XS19, XS21, XS23|PIN50_MY|50PIN_MY_R_AB|12
50PIN_MY_R_CD||XS2, XS4, XS6, XS8, XS10, XS12, XS14, XS16, XS18, XS20, XS22, XS24|PIN50_MY|50PIN_MY_R_CD|12
J30J-37ZKWP14-J||XS25|J30J-37ZKWP14|37PIN|1
J30J-9ZKWP7-J(成套订购)|9芯D型连接器|XS26|J30J-9ZKWP7-J|D|1
PAD2_3mm/NC||XS27|PAD2_3MM|2PIN|1
PAD2_2mm/NC||XS28, XS29, XS30, XS31|PAD2_2MM|2PIN|4
ABMM-25.000MHZ-B2-T|XTAL 25MHZ -- -- SMT|Y2|OSC3225-4P|XTAL_13Y|1
